"endTime","artistName","trackName","msPlayed","isPodcast"
"2021-03-20 19:15","Queen","Dragon Attack - Live At The Montreal Forum / November 1981",191760,"No"
"2021-03-20 19:17","Queen","Now I'm Here (Reprise) - Live At The Montreal Forum / November 1981",113106,"No"
"2021-03-20 19:21","Queen","Under Pressure - Live At The Montreal Forum / November 1981",230120,"No"
"2021-03-20 19:24","Queen","Keep Yourself Alive - Live At The Montreal Forum / November 1981",209293,"No"
"2021-03-20 19:27","Queen","Drum And Tympani Solo - Live At The Montreal Forum / November 1981",180066,"No"
"2021-03-20 19:32","Queen","Guitar Solo - Live At The Montreal Forum / November 1981",311186,"No"
"2021-03-20 19:34","Queen","Flash - Live At The Montreal Forum / November 1981",131146,"No"
"2021-03-20 19:36","Queen","The Hero - Live At The Montreal Forum / November 1981",111440,"No"
"2021-03-20 19:41","Queen","Crazy Little Thing Called Love - Live At The Montreal Forum / November 1981",255600,"No"
"2021-03-20 19:43","Queen","Jailhouse Rock - Live At The Montreal Forum / November 1981",152600,"No"
"2021-03-20 19:49","Queen","Bohemian Rhapsody - Live At The Montreal Forum / November 1981",328933,"No"
"2021-03-20 21:36","Queen","Tie Your Mother Down - Live At The Montreal Forum / November 1981",232933,"No"
"2021-03-20 21:40","Queen","Another One Bites The Dust - Live At The Montreal Forum / November 1981",240600,"No"
"2021-03-20 21:57","Queen","Sheer Heart Attack - Live At The Montreal Forum / November 1981",233693,"No"
"2021-03-20 21:59","Queen","We Will Rock You - Live At The Montreal Forum / November 1981",129333,"No"
"2021-03-20 22:03","Queen","We Are The Champions - Live At The Montreal Forum / November 1981",207573,"No"
"2021-03-20 22:04","Queen","God Save The Queen - Live At The Montreal Forum / November 1981",87506,"No"
"2021-03-20 22:09","Geddy Lee","The Angels' Share",274733,"No"
"2021-03-20 22:14","Geddy Lee","Runaway Train",271466,"No"
"2021-03-20 22:18","Geddy Lee","My Favorite Headache",284000,"No"
"2021-03-20 22:23","Geddy Lee","Working at Perfekt",299040,"No"
"2021-03-20 22:26","Rush","Heart Full of Soul",171240,"No"
"2021-03-20 22:30","Rush","For What It's Worth",209626,"No"
"2021-03-20 22:33","Rush","Mr. Soul",229266,"No"
"2021-03-20 22:37","Rush","Shapes of Things",195560,"No"
"2021-03-20 22:40","Rush","Seven and Seven Is",172133,"No"
"2021-03-20 22:44","Rush","Bravado - 2004 Remaster",275120,"No"
"2021-03-20 22:50","Rush","Roll the Bones - 2004 Remaster",329906,"No"
"2021-03-21 00:03","Rush","Where's My Thing - 2004 Remaster",229120,"No"
"2021-03-21 00:08","Rush","Heresy - 2004 Remaster",325440,"No"
"2021-03-21 01:06","Rush","You Bet Your Life - 2004 Remaster",300920,"No"
"2021-03-21 01:11","Rush","The Pass - 2004 Remaster",290653,"No"
"2021-03-21 01:16","Rush","War Paint - 2004 Remaster",324506,"No"
"2021-03-21 01:22","Rush","Presto - 2004 Remaster",345586,"No"
"2021-03-21 01:26","Rush","Red Tide - 2004 Remaster",270426,"No"
"2021-03-21 01:34","Rush","Available Light - 2004 Remaster",286344,"No"
"2021-03-22 15:40","Rush","Wish Them Well",325466,"No"
"2021-03-22 15:47","Rush","The Garden",419440,"No"
"2021-03-22 15:55","Rush","Clockwork Angels",451440,"No"
"2021-03-22 20:23","Rush","The Anarchist",65580,"No"
"2021-03-25 16:35","Black Sabbath","Paranoid",168440,"No"
"2021-03-25 16:40","Black Sabbath","Children of the Grave",314720,"No"
"2021-03-25 16:46","Black Sabbath","N.I.B.",364493,"No"
"2021-03-25 16:53","Black Sabbath","Heaven and Hell - 2009 Remaster",398817,"No"
"2021-03-25 16:59","Black Sabbath","Iron Man",354773,"No"
"2021-03-26 01:19","Black Sabbath","Sabbath Bloody Sabbath",151306,"No"
"2021-03-26 13:54","Black Sabbath","Sabbath Bloody Sabbath",196564,"No"
"2021-03-26 13:58","Black Sabbath","Sweet Leaf",245996,"No"
"2021-03-26 14:04","Black Sabbath","Black Sabbath",377280,"No"
"2021-03-26 17:46","Black Sabbath","War Pigs",474400,"No"
"2021-03-26 17:55","Black Sabbath","God Is Dead?",532266,"No"
"2021-03-26 17:56","Black Sabbath","Into the Void",67853,"No"
"2021-03-26 18:01","Black Sabbath","The Wizard",260640,"No"
"2021-03-26 18:05","Black Sabbath","Planet Caravan",269533,"No"
"2021-03-26 18:10","Black Sabbath","Loner",299933,"No"
"2021-03-26 18:10","Black Sabbath","Snowblind",4693,"No"
"2021-03-26 18:15","Black Sabbath","A National Acrobat",5370,"No"
"2021-03-26 18:15","Black Sabbath","Electric Funeral",289799,"No"
"2021-03-26 18:20","Black Sabbath","Supernaut",271120,"No"
"2021-03-26 18:26","Black Sabbath","Sabbra Cadabra",17357,"No"
"2021-03-26 18:26","Black Sabbath","Fairies Wear Boots",373192,"No"
"2021-03-26 21:02","Black Sabbath","Solitude",251090,"No"
"2021-03-29 16:37","Black Sabbath","Heaven and Hell - 2009 Remaster",378560,"No"
"2021-03-29 16:41","Black Sabbath","Planet Caravan",269533,"No"
"2021-03-29 16:46","Black Sabbath","Loner",299933,"No"
"2021-03-29 16:46","Black Sabbath","Snowblind",4053,"No"
"2021-03-29 16:51","Black Sabbath","Electric Funeral",279180,"No"
"2021-03-29 16:59","Black Sabbath","Zeitgeist",0,"No"
"2021-03-29 16:59","Black Sabbath","Children of the Sea - 2009 Remaster",335213,"No"
"2021-03-29 18:27","Black Sabbath","Zeitgeist",277786,"No"
