"endTime","artistName","trackName","msPlayed","isPodcast","id"
"2021-11-10 01:45","Queen","Keep Yourself Alive - BBC Session / February 5th 1973, Langham 1 Studio",229644,"No","3qFTqz2IW4C9pRXPiijwjt"
"2021-11-10 01:48","Queen","Good Old-Fashioned Lover Boy - Remastered 2011",172938,"No","1mnQiO568zXIrUncttTZGp"
"2021-11-10 01:51","Queen","Bicycle Race - Remastered 2011",179947,"No","3lUx27TOwV2nAiKwnYYXxe"
"2021-11-10 01:54","Queen","You're My Best Friend - Remastered 2011",169808,"No","4OKf7CcYuw5H2HptkcKxcP"
"2021-11-10 01:58","Queen","Hammer To Fall - Live Aid",243341,"No","5YpHQOxvS1pe36h2vkkjSx"
"2021-11-10 01:59","Queen","Ay-Oh - Live Aid",41251,"No","5nv5hodQpAMoT2PqSVmakE"
"2021-11-10 15:45","Queen","Save Me - Remastered 2011",42041,"No","2mGEqJahn3CSyCG1BTEqMs"
"2021-11-10 15:51","Queen","Seven Seas Of Rhye - Remastered 2011",168963,"No","1e9Tt3nKBwRbuaU79kN3dn"
"2021-11-10 15:56","Queen","I Was Born To Love You - 2011 Remaster",289733,"No","1CKo7tzWiPzIGXc28DrABh"
"2021-11-10 16:01","Queen","Now I'm Here - Remastered 2011",252887,"No","0P7YJ9fxIOM0Rq4pZ2qU42"
"2021-11-10 16:09","Queen","These Are The Days Of Our Lives - 2011 Remaster",254882,"No","2HpkD9J7t7xBaduVflpmqn"
"2021-11-10 16:13","Queen","Too Much Love Will Kill You - Remastered 2011",259201,"No","5eDwoZdv3Qftzs8ijKviYg"
"2021-11-10 16:29","Queen","Princes Of The Universe - Remastered 2011",213768,"No","5jNn9QeC5PCZl3t27eusXg"
"2021-11-10 16:32","Queen","Play The Game - Remastered 2011",212432,"No","4b0mX1GtrQLiUW9jpb6Xcx"
"2021-11-10 16:38","Queen","You Don't Fool Me - Remastered 2011",324836,"No","35balOkqaPZ4IrvZtG3YNg"
"2021-11-10 16:41","Queen","'39 - Remastered 2011",209765,"No","0kIpcu3DQacQObHVyra9Jx"
"2021-11-10 16:46","Queen","Tie Your Mother Down - Remastered 2011",287186,"No","6K8gEgGkOyD1wFY3kAcyOy"
"2021-11-10 17:00","Queen","Heaven For Everyone - Remastered 2011",335945,"No","1gZisUSub74637T2rJmimh"
"2021-11-10 19:31","Queen","It's Late - Remastered 2011",249006,"No","0bnTlF0pyVHFRXuwS9QB7x"
"2021-11-10 19:37","Queen","Flash - Single Version",168124,"No","6tYYT8zNxkadSCujCdR6Ur"
"2021-11-10 19:47","Queen","Liar - Remastered 2011",342906,"No","5o6VEJfhYj9Ubp73tmwl6t"
"2021-11-10 19:51","Queen","Cool Cat - Remastered 2011",209006,"No","6Re2AwZUVlgBng04BZTauW"
"2021-11-10 19:51","Queen","Death On Two Legs (Dedicated To...) - Remastered 2011",23144,"No","4J0kN8QS2esY6cWBsFjtW9"
"2021-11-10 20:08","Queen","Lazing On A Sunday Afternoon - Remastered 2011",67253,"No","12TZzfqJyY3UvtZ3lq1WmY"
"2021-11-10 20:12","Queen","Get Down, Make Love - Remastered 2011",229946,"No","1DdC1R2eDWg3Xq9RPSX4h2"
"2021-11-11 12:21","Queen","Forever - Piano Version",199949,"No","4gvqYbuokkI71nimNaNP1H"
"2021-11-11 12:25","Queen","My Fairy King - BBC Session / February 5th 1973, Langham 1 Studio",248186,"No","22PDDxasXyFMek05JaWmVC"
