"artistName","trackName","isPodcast","id"
"Blue Öyster Cult","Born To Be Wild","No","5I35lj0wrL3et6tRaq7gSy"
"Blue Öyster Cult","Box in My Head","No","6QJmMsK2vCvxPvkeaPFM0F"
"Blue Öyster Cult","Burnin' for You","No","3fkPMWQ6cBNBLuFcPyMS8s"
"Blue Öyster Cult","Burning for You","No","7gzbnBiHnGBpruEIWTSh1X"
"Blue Öyster Cult","Career of Evil","No","1hNIb1XdqTfcanT6yr9l4k"
"Blue Öyster Cult","Cities On Flame","No","0M7oqERflkrJVHD3IAZqxo"
"Blue Öyster Cult","Cities On Flame with Rock and Roll","No","0M7oqERflkrJVHD3IAZqxo"
"Blue Öyster Cult","Dancin' In the Ruins","No","3hPYZWTZPGBnQ5fCAl6d12"
"Blue Öyster Cult","Death Valley Nights","No","1Zd5KxenhiRD0OpIf9Dfmh"
"Blue Öyster Cult","Dominance and Submission","No","4cOqjEZyN13voCKivT0ae2"
"Blue Öyster Cult","E.T.I.","No","5KBdHzTROSlD3dACh91sZx"
"Blue Öyster Cult","Edge of the World","No","7jVe2goPxC3aDq6BRgqPMo"
"Blue Öyster Cult","Eyes on Fire","No","41E1dJP0U1tlgIsjmPLHhd"
"Blue Öyster Cult","Fallen Angel","No","1IYjr8q6ZmRxVlTVtBTvQn"
"Blue Öyster Cult","Fight","No","4QULNfm0fGOq1x7Z6ufi0O"
"Blue Öyster Cult","Fire of Unknown Origin","No","3OXc6xDxasnl4uj2jl1q4Y"
"Blue Öyster Cult","Fireworks","No","2oX1Mb2560PoRxHAVSpRAM"
"Blue Öyster Cult","Flaming Telepaths","No","1SphwtRn4YYVffKnTWaugH"
"Blue Öyster Cult","Florida Man","No","6XEe0KctR5H9ll1HMQrBZr"
"Blue Öyster Cult","Godzilla","No","6N0AnkdDFZUetw8KAGHV7e"
"Blue Öyster Cult","Golden Age of Leather","No","1BKoilGgL2OgmPKcYQ27vQ"
"Blue Öyster Cult","Heavy Metal","No","1uUCpOX86yRGShambUp93O"
"Blue Öyster Cult","I Love the Night","No","4hO1SWYmqJF6X7O5rZaE6R"
"Blue Öyster Cult","In Thee","No","7vm7Bd52OsZmxk3yWulR2u"
"Blue Öyster Cult","Joan Crawford","No","0DcEV14d8zZykcFQ6PI2KQ"
"Blue Öyster Cult","ME 262","No","273lBFpxUCwisTpdnF9cVb"
"Blue Öyster Cult","Monsters","No","6JtnDjDz5eJ87GOAd8sDbv"
"Blue Öyster Cult","Nightmare Epiphany","No","4bNuSqQByGNwVSYBttd9Jm"
"Blue Öyster Cult","Nosferatu","No","2Qo5Bpb4Chv3KHhQn4dGWl"
"Blue Öyster Cult","O.D.'d On Life Itself","No","25bhZC815VKJyXBF15UVje"
"Blue Öyster Cult","Redeemed","No","1P37l3UBUo49cqATq6Qccz"
"Blue Öyster Cult","Screams","No","2KsnSzoJlmfT44jFOqRP1E"
"Blue Öyster Cult","Secret Road","No","4D0rMWGCN4xQzSgLDOj634"
"Blue Öyster Cult","She's as Beautiful as a Foot","No","4dxvxIJyRionBTOIo3v8yH"
"Blue Öyster Cult","Shooting Shark","No","2hIPXxsglGrqR1O7j4zt9H"
"Blue Öyster Cult","Sinful Love","No","0ZulY8etRzj54NLYOYX7jy"
"Blue Öyster Cult","Sole Survivor","No","2PicnFqnuKd9EwHp2xQvcn"
"Blue Öyster Cult","Stairway to the Stars","No","3VH9PB4maOkYsS1KKXDBb1"
"Blue Öyster Cult","Stand and Fight","No","0d6toPSchGTRM7HOGGE8Sy"
"Blue Öyster Cult","Tainted Blood","No","0fH5JH6nF13GqegSQvG0uX"
"Blue Öyster Cult","Take Me Away","No","6zdMlZyo0XyRNclXyQvVAl"
"Blue Öyster Cult","Tattoo Vampire","No","1DV0f9SWOku3899QQ8ux93"
"Blue Öyster Cult","That Was Me","No","4SEVM5zCvVLTwk8Rm5ox0I"
"Blue Öyster Cult","The Alchemist","No","6gqBQnqc30AV9Z8mFu20EF"
"Blue Öyster Cult","The Machine","No","2FH9s2d6Kuo3RyvfwGfWL7"
"Blue Öyster Cult","The Red & the Black","No","1mKM34k8n1nLeMF1yt9EKS"
"Blue Öyster Cult","The Return of St. Cecilia","No","2prO2CskUEGM1sErj1tyyi"
"Blue Öyster Cult","Then Came the Last Days of May","No","60TYdVs6TWIsAJ1MPRdv59"
"Blue Öyster Cult","There's a Crime","No","5faIQyk8ZehpXPPvBPbXNa"
"Blue Öyster Cult","This Ain't the Summer of Love","No","1lyzM8ksTZShD51uQVt8zW"
"Blue Öyster Cult","Train True","No","6lO5R7MqS8zBCQRBUqOi9x"
"Blue Öyster Cult","Transmaniacon MC","No","59ENhfT8TIFjB30TUVG4PA"
"Blue Öyster Cult","True Confessions","No","6sH5tkQoXL3YKV0hpXZoWj"
"Blue Öyster Cult","Veteran of the Psychic Wars","No","1bPUK3zBMK73QXmCLzqffn"
"Blue Öyster Cult","When the War Comes Home","No","7aZuLqm3Ft8eUnzDYkJrXR"
"Boston","More Than a Feeling","No","1QEEqeFIZktqIpPI4jSVSF"
"Brian May","Driven By You","No","5fwDeXiddBrFU3zjTKsiZq"
"Cream","Blue Condition","No","7ppEe541TTltrmGoQO5N4n"
"Cream","Born Under A Bad Sign","No","2uxsnsH0XzOBZkMrSFVmll"
"Cream","Dance The Night Away","No","5qlENYSq7eJmRXsP6bKBKY"
"Cream","Strange Brew","No","47bXIv24jthL4vzZy3j7CY"
"Cream","Sunshine Of Your Love","No","2K2M0TcglCRLLpFOzKeFZA"
"Cream","SWLABR","No","2JbS4ZDBIUcXavA9mfb2nC"
"Cream","Tales Of Brave Ulysses","No","0GxV3poTM7Z7fKSUqy5qFw"
"Cream","World Of Pain","No","6OWonlTNJpRwNRI6IYDY0a"
"Data Hackers","Aprendizado e o futuro da educação","Yes","null"
"Data Hackers","As maiores tretas e polêmicas no mundo de Dados","Yes","null"
"Data Hackers","Carreira em Data Science — Data Hackers Podcast 11","Yes","null"
"Data Hackers","Como criar um time de Data Science","Yes","null"
"Data Hackers","Como é o dia a dia de um Cientista de Dados","Yes","null"
"Data Hackers","Como nós começamos em Data Science","Yes","null"
"Data Hackers","Data","Yes","null"
"Data Hackers","Jornalismo de Dados no Estadão","Yes","null"
"Data Hackers","Kaggle","Yes","null"
"Data Hackers","Mulheres em Data Science","Yes","null"
"Data Hackers","Nubank e EBANX","Yes","null"
"Data Hackers","O que um Engenheiro de Dados faz?","Yes","null"
