"trackID","artistName","trackName","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"2cGFkKCnNlehBR2CKkjXAF","Rush","Available Light",0.69,0.631,9,-10.857,0,0.0354,0.0109,0.0692,0.167,0.761,129.804,302480,4
"23eDYjECeAjGDkHAdBArkx","Rush","Freeze Part IV of Fear",0.536,0.923,9,-6.335,1,0.0458,7.41e-05,0.000126,0.0689,0.447,140.018,381038,3
"2bXqPHRwNHyupGGoQ2FCiH","Rush","YYZ (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",0.264,0.975,7,-5.005,1,0.113,0.00263,0.809,0.964,0.241,135.516,292320,4
"2xoM5JX9KbKhiJD3iQssTj","Queen","We Will Rock You - Live",0.383,0.958,9,-4.883,1,0.157,0.0013,0.0123,0.413,0.187,176.079,129333,4
"4svkPL62HbvyFgf0nHFXAF","Black Sabbath","Iron Man",0.332,0.769,9,-11.503,1,0.0765,0.00367,0.00413,0.0372,0.525,157.378,354774,4
"5hMjg3wo1hcRU54heE13Iv","Yes","Hearts",0.461,0.636,7,-5.885,1,0.0337,0.195,0.0043,0.132,0.294,137.149,458827,4
"2bM5vad6jebdtk9yyawsl3","Rush","The Spirit of Radio - Live in Cleveland",0.296,0.98,9,-3.561,1,0.083,0.000721,0.000746,0.974,0.455,135.88,302120,4
"3VtrcsvEp3RIwg87GOui3q","Rush","Heart Full of Soul",0.411,0.755,3,-4.984,0,0.0328,0.00848,0.00185,0.177,0.645,128.36,171240,4
"6052jtfgpaXiVlHLUnoFFm","Rush","Second Nature",0.62,0.783,6,-7.926,1,0.0348,0.0846,0.0164,0.0891,0.302,120.054,276373,4
"0pQskrTITgmCMyr85tb9qq","David Bowie","Starman - 2012 Remaster",0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,4
"6CWNVxMkJrunDd9Ga3scC4","Rush","Force Ten - R30 Live Version",0.182,0.97,7,-2.96,1,0.145,0.00612,0.203,0.983,0.27,169.619,289760,4
"6QJmMsK2vCvxPvkeaPFM0F","Blue Öyster Cult","Box in My Head",0.555,0.949,2,-4.755,1,0.0527,0.00446,1.83e-05,0.0701,0.711,140.113,225181,4
"1SphwtRn4YYVffKnTWaugH","Blue Öyster Cult","Flaming Telepaths",0.438,0.843,4,-5.578,0,0.032,0.207,0.00146,0.911,0.479,90.086,318853,4
"0KskzfT5jSZt7rfWWwjdHV","Queen","Jailhouse Rock - Live At The Montreal Forum / November 1981",0.276,0.973,2,-5.483,1,0.193,0.00226,0.0122,0.99,0.245,94.998,152600,4
"0MJQsPp1gpmQyPvUZUeLkq","Queen","Headlong - Remastered 2011",0.58,0.895,2,-6.176,1,0.0848,0.203,7.37e-06,0.0973,0.416,144.025,271013,4
"7wGaViRu4g24CDqUcnJrGp","Led Zeppelin","Good Times Bad Times - Live: O2 Arena, London - December 10, 2007",0.358,0.84,7,-9.467,1,0.0736,7.21e-06,0.0841,0.567,0.536,96.54,191560,4
"3QTTAj8piyRBfhoPEfJC6y","Queen","We Will Rock You - Live At Wembley Stadium / July 1986",0.517,0.988,9,-4.592,1,0.0959,0.0106,4.83e-05,0.423,0.0375,89.832,167733,4
"1Fkob9An4DxnB5AYOKzRBg","Queen","Get Down, Make Love - Live",0.31,0.794,4,-6.646,1,0.248,0.323,0.00556,0.975,0.113,98.493,285933,4
"00moD4PXcXHnshxk8ljkgi","Queen","Stone Cold Crazy",0.39,0.839,7,-10.178,1,0.0937,0.00184,0.00626,0.0766,0.375,120.363,135853,4
"4MpIwDaZdFLafMDcAx4k4q","Black Sabbath","Changes",0.289,0.238,0,-12.244,1,0.0326,0.0421,2.73e-05,0.109,0.187,81.264,282493,3
"65qw3kbgTAoKO9hJjDraRe","Black Sabbath","Paranoid",0.424,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.721,168440,4
"0GoyVMmzOB53lT8qRJYC4b","Black Sabbath","Electric Funeral",0.379,0.467,4,-13.047,1,0.0454,0.269,1.33e-05,0.227,0.374,125.858,289800,4
"28NxAt7ByzjZB7tZE1DlIe","Rush","BU2B - Live In Cleveland",0.2,0.961,0,-3.09,1,0.0576,0.00246,0.000199,0.915,0.557,151.391,263573,4
"2oX1Mb2560PoRxHAVSpRAM","Blue Öyster Cult","Fireworks",0.554,0.813,4,-7.727,0,0.0347,0.246,0,0.934,0.792,128.756,192253,4
"4fPj9XjpmMVedKjio3cdbR","Rush","A Passage To Bangkok - Live In The UK / 1980",0.301,0.875,2,-8.533,1,0.07,0.138,0.00348,0.918,0.391,99.99,224760,4
"54BcazwvRS8abIqivDKipj","Queen","Save Me - Remastered 2011",0.506,0.442,7,-6.819,1,0.0264,0.354,0,0.11,0.363,81.63,228053,3
"1dYUEwOjIouVUBTgEtNsHQ","Rush","By-Tor and the Snowdog - Rio Live",0.23,0.948,2,-6.378,1,0.0629,5.9e-06,0.864,0.412,0.359,77.359,274760,4
"2hIPXxsglGrqR1O7j4zt9H","Blue Öyster Cult","Shooting Shark",0.625,0.666,0,-10.446,1,0.0306,0.01,0.00078,0.107,0.743,106.996,430173,4
"06NaQEFudMOluSNd1xSGBe","Yes","It Can Happen - Cinema Version",0.562,0.846,0,-5.797,1,0.0333,0.147,2.22e-05,0.172,0.589,110.498,365373,4
"7ppEe541TTltrmGoQO5N4n","Cream","Blue Condition",0.501,0.264,0,-12.065,1,0.0285,0.581,0.00141,0.0898,0.599,79.719,209720,4
"40UDRU6xIODKg1NStpayEt","Rush","War Paint - 2004 Remaster",0.626,0.735,0,-10.425,1,0.0267,0.000932,0.00261,0.329,0.606,119.77,324507,4
