"trackID","artistName","trackName"
"4QULNfm0fGOq1x7Z6ufi0O","Blue Öyster Cult","Fight"
"3OXc6xDxasnl4uj2jl1q4Y","Blue Öyster Cult","Fire of Unknown Origin"
"2oX1Mb2560PoRxHAVSpRAM","Blue Öyster Cult","Fireworks"
"1SphwtRn4YYVffKnTWaugH","Blue Öyster Cult","Flaming Telepaths"
"6XEe0KctR5H9ll1HMQrBZr","Blue Öyster Cult","Florida Man"
"6N0AnkdDFZUetw8KAGHV7e","Blue Öyster Cult","Godzilla"
"1BKoilGgL2OgmPKcYQ27vQ","Blue Öyster Cult","Golden Age of Leather"
"1uUCpOX86yRGShambUp93O","Blue Öyster Cult","Heavy Metal"
"4hO1SWYmqJF6X7O5rZaE6R","Blue Öyster Cult","I Love the Night"
"7vm7Bd52OsZmxk3yWulR2u","Blue Öyster Cult","In Thee"
"0DcEV14d8zZykcFQ6PI2KQ","Blue Öyster Cult","Joan Crawford"
"273lBFpxUCwisTpdnF9cVb","Blue Öyster Cult","ME 262"
"6JtnDjDz5eJ87GOAd8sDbv","Blue Öyster Cult","Monsters"
"4bNuSqQByGNwVSYBttd9Jm","Blue Öyster Cult","Nightmare Epiphany"
"2Qo5Bpb4Chv3KHhQn4dGWl","Blue Öyster Cult","Nosferatu"
"25bhZC815VKJyXBF15UVje","Blue Öyster Cult","O.D.'d On Life Itself"
"1P37l3UBUo49cqATq6Qccz","Blue Öyster Cult","Redeemed"
"2KsnSzoJlmfT44jFOqRP1E","Blue Öyster Cult","Screams"
"4D0rMWGCN4xQzSgLDOj634","Blue Öyster Cult","Secret Road"
"4dxvxIJyRionBTOIo3v8yH","Blue Öyster Cult","She's as Beautiful as a Foot"
"2hIPXxsglGrqR1O7j4zt9H","Blue Öyster Cult","Shooting Shark"
"0ZulY8etRzj54NLYOYX7jy","Blue Öyster Cult","Sinful Love"
"2PicnFqnuKd9EwHp2xQvcn","Blue Öyster Cult","Sole Survivor"
"3VH9PB4maOkYsS1KKXDBb1","Blue Öyster Cult","Stairway to the Stars"
"0d6toPSchGTRM7HOGGE8Sy","Blue Öyster Cult","Stand and Fight"
"0fH5JH6nF13GqegSQvG0uX","Blue Öyster Cult","Tainted Blood"
"6zdMlZyo0XyRNclXyQvVAl","Blue Öyster Cult","Take Me Away"
"1DV0f9SWOku3899QQ8ux93","Blue Öyster Cult","Tattoo Vampire"
"4SEVM5zCvVLTwk8Rm5ox0I","Blue Öyster Cult","That Was Me"
"6gqBQnqc30AV9Z8mFu20EF","Blue Öyster Cult","The Alchemist"
"2FH9s2d6Kuo3RyvfwGfWL7","Blue Öyster Cult","The Machine"
"1mKM34k8n1nLeMF1yt9EKS","Blue Öyster Cult","The Red & the Black"
"2prO2CskUEGM1sErj1tyyi","Blue Öyster Cult","The Return of St. Cecilia"
"60TYdVs6TWIsAJ1MPRdv59","Blue Öyster Cult","Then Came the Last Days of May"
"5faIQyk8ZehpXPPvBPbXNa","Blue Öyster Cult","There's a Crime"
"1lyzM8ksTZShD51uQVt8zW","Blue Öyster Cult","This Ain't the Summer of Love"
"6lO5R7MqS8zBCQRBUqOi9x","Blue Öyster Cult","Train True"
"59ENhfT8TIFjB30TUVG4PA","Blue Öyster Cult","Transmaniacon MC"
"6sH5tkQoXL3YKV0hpXZoWj","Blue Öyster Cult","True Confessions"
"1bPUK3zBMK73QXmCLzqffn","Blue Öyster Cult","Veteran of the Psychic Wars"
"7aZuLqm3Ft8eUnzDYkJrXR","Blue Öyster Cult","When the War Comes Home"
"1QEEqeFIZktqIpPI4jSVSF","Boston","More Than a Feeling"
"5fwDeXiddBrFU3zjTKsiZq","Brian May","Driven By You"
"7ppEe541TTltrmGoQO5N4n","Cream","Blue Condition"
"2uxsnsH0XzOBZkMrSFVmll","Cream","Born Under A Bad Sign"
"5qlENYSq7eJmRXsP6bKBKY","Cream","Dance The Night Away"
"47bXIv24jthL4vzZy3j7CY","Cream","Strange Brew"
"2K2M0TcglCRLLpFOzKeFZA","Cream","Sunshine Of Your Love"
